"objectid_12","objectid_1","ind_id","geog_id","geog_name","geog_type","date_start","date_end","period","date_name","var_stat","var_count","var_denom","var_unstable","var_lci","var_uci","var_ci","var_sigval_nat","var_sig_nat","var_sigval_state","var_sig_state","var_sigval_dis","var_sig_dis","var_sigval_cnty","var_sig_cnty","objectid","var_race","var_sex","var_age","status","dist","geog_utm_length","geog_utm_area","SHAPE__Length","SHAPE__Area"
"670706","18","State","0","INDIANA","78566","null","BIRTH009","null","null","null","null","All","All","Year","null","159544501997.96835","null","1","null","null","1314073","","null","null","2020","null","59.8","null","1","2020","2110270.168044281","null","All","Published"
"670626","18001","County","3","Adams","632","null","BIRTH009","null","null","null","null","All","All","Year","null","1537534180.2408552","null","1","null","null","6172","","null","null","2020","null","102.4","null","1","2020","162629.5984913619","null","All","Published"
"670627","18003","County","3","Allen","5191","null","BIRTH009","null","null","null","null","All","All","Year","null","3012535152.6254187","null","1","null","null","76627","","null","null","2020","null","67.7","null","1","2020","221440.73761390639","null","All","Published"
"670628","18005","County","8","Bartholomew","1038","null","BIRTH009","null","null","null","null","All","All","Year","null","1767385153.7830708","null","1","null","null","15670","","null","null","2020","null","66.2","null","1","2020","175525.08057116377","null","All","Published"
"670629","18007","County","4","Benton","112","null","BIRTH009","null","null","null","null","All","All","Year","null","1829229998.097342","null","1","null","null","1514","","null","null","2020","null","74","null","1","2020","172421.77765137676","null","All","Published"
"670630","18009","County","6","Blackford","125","null","BIRTH009","null","null","null","null","All","All","Year","null","740817699.2573893","null","1","null","null","1852","","null","null","2020","null","67.5","null","1","2020","109367.34192007003","null","All","Published"
"670631","18011","County","5","Boone","740","null","BIRTH009","null","null","null","null","All","All","Year","null","1873817705.6726077","null","1","null","null","13143","","null","null","2020","null","56.3","null","1","2020","175234.8110283405","null","All","Published"
"670632","18013","County","8","Brown","117","null","BIRTH009","null","null","null","null","All","All","Year","null","1366944544.926216","null","1","null","null","2186","","null","null","2020","null","53.5","null","1","2020","150101.6167605461","null","All","Published"
"670633","18015","County","4","Carroll","244","null","BIRTH009","null","null","null","null","All","All","Year","null","1698369672.7676444","null","1","null","null","3408","","null","null","2020","null","71.6","null","1","2020","175424.4597740168","null","All","Published"
"670634","18017","County","4","Cass","466","null","BIRTH009","null","null","null","null","All","All","Year","null","1874644538.1503055","null","1","null","null","6523","","null","null","2020","null","71.4","null","1","2020","195024.71491540148","null","All","Published"
"670635","18019","County","9","Clark","1351","null","BIRTH009","null","null","null","null","All","All","Year","null","1588412599.121614","null","1","null","null","22960","","null","null","2020","null","58.8","null","1","2020","197621.11083457182","null","All","Published"
"670636","18021","County","7","Clay","287","null","BIRTH009","null","null","null","null","All","All","Year","null","1565006845.8411417","null","1","null","null","4630","","null","null","2020","null","62","null","1","2020","192237.55188481134","null","All","Published"
"670637","18023","County","4","Clinton","424","null","BIRTH009","null","null","null","null","All","All","Year","null","1806432499.484373","null","1","null","null","5716","","null","null","2020","null","74.2","null","1","2020","174382.06613417095","null","All","Published"
"670638","18025","County","10","Crawford","93","null","BIRTH009","null","null","null","null","All","All","Year","null","1308546884.5425615","null","1","null","null","1649","","null","null","2020","null","56.4","null","1","2020","195184.71788809556","null","All","Published"
"670639","18027","County","10","Daviess","533","null","BIRTH009","null","null","null","null","All","All","Year","null","1878247368.2323859","null","1","null","null","5960","","null","null","2020","null","89.4","null","1","2020","192655.75614222788","null","All","Published"
